id,brakujace,powod
"chs-01-001","distractor:a","brak w źródle"
"chs-01-002","trap|distractor:d","brak w źródle"
"chs-01-003","trap|distractor:b","brak w źródle"
"chs-01-004","distractor:a","brak w źródle"
"chs-01-005","distractor:e","brak w źródle"
"chs-01-006","trap|distractor:d","brak w źródle"
"chs-01-007","trap|distractor:d","brak w źródle"
"chs-01-008","takeaway|distractor:e","brak w źródle"
"chs-01-009","trap|distractor:c","brak w źródle"
"chs-01-010","distractor:c","brak w źródle"
"chs-02-001","trap|distractor:e","brak w źródle"
"chs-02-002","distractor:a|distractor:b","brak w źródle"
"chs-02-003","trap|distractor:a|distractor:b","brak w źródle"
"chs-02-004","trap|distractor:d","brak w źródle"
"chs-02-005","takeaway|distractor:c","brak w źródle"
"chs-02-006","trap|distractor:a|distractor:b","brak w źródle"
"chs-02-007","trap|distractor:e","brak w źródle"
"chs-02-008","takeaway|distractor:b","brak w źródle"
"chs-02-009","trap|distractor:e","brak w źródle"
"chs-02-010","trap|distractor:b","brak w źródle"
"chs-02-011","trap|distractor:e","brak w źródle"
"chs-02-012","trap|distractor:a|distractor:e","brak w źródle"
"chs-02-013","trap|distractor:c|distractor:d","brak w źródle"
"chs-02-014","trap|distractor:b|distractor:c","brak w źródle"
"chs-02-015","trap|distractor:e","brak w źródle"
"chs-02-016","trap|distractor:c|distractor:d","brak w źródle"
"chs-02-017","trap|distractor:e","brak w źródle"
"chs-02-018","distractor:d","brak w źródle"
"chs-02-019","distractor:c","brak w źródle"
"chs-02-020","distractor:d","brak w źródle"
"chs-02-021","distractor:c|distractor:e","distractor_unmatched: 2, 3 i 4"
"chs-02-022","distractor:b","brak w źródle"
"chs-02-023","distractor:c","brak w źródle"
"chs-02-024","distractor:c|distractor:d","brak w źródle"
"chs-02-025","distractor:d","brak w źródle"
"chs-02-026","distractor:e","brak w źródle"
"chs-02-027","distractor:d","brak w źródle"
"chs-02-028","distractor:b","brak w źródle"
"chs-02-029","distractor:c","brak w źródle"
"chs-02-030","distractor:d","brak w źródle"
"chs-02-031","distractor:d","brak w źródle"
"chs-02-032","distractor:c|distractor:d|distractor:e","distractor_unmatched: zajęcie dolnych dróg oddechowych następuje przy lepszej odporności chorego"
"chs-02-033","trap|distractor:b|distractor:e","brak w źródle"
"chs-02-034","trap|distractor:c","brak w źródle"
"chs-02-035","distractor:c|distractor:d","brak w źródle"
"chs-02-036","distractor:a|distractor:c","brak w źródle"
"chs-02-037","trap|distractor:b|distractor:e","brak w źródle"
"chs-02-038","trap|distractor:a|distractor:c|distractor:d|distractor:e","distractor_unmatched: maseczka FFP2 z maską chirurgiczną zakładana przed fartuchem jednorazowym; distractor_unmatched: rękawice jednorazowe zakładane przed okularami ochronnymi z przyłbicą; distractor_unmatched: fartuch jednorazowy zakładany przed dezynfekcją rąk"
"chs-02-039","trap|distractor:b|distractor:c|distractor:d","distractor_unmatched: wirus wchłania się przez nieuszkodzoną skórę rąk"
"chs-02-040","trap|distractor:d","brak w źródle"
"chs-02-041","trap|distractor:a|distractor:c","brak w źródle"
"chs-02-042","trap|distractor:a|distractor:e","distractor_unmatched: skierowaniu jej na 30-dniową kwarantannę"
"chs-02-043","trap|distractor:e","brak w źródle"
"chs-02-044","distractor:c","brak w źródle"
"chs-03-001","trap|distractor:b|distractor:c","brak w źródle"
"chs-03-002","takeaway|distractor:d|distractor:e","brak w źródle"
"chs-03-003","trap|distractor:c|distractor:d","brak w źródle"
"chs-03-004","trap|distractor:a|distractor:e","brak w źródle"
"chs-03-005","takeaway|distractor:c|distractor:d","brak w źródle"
"chs-03-006","takeaway|distractor:b|distractor:c","brak w źródle"
"chs-03-007","trap|distractor:b|distractor:e","brak w źródle"
"chs-03-008","trap|distractor:b|distractor:e","brak w źródle"
