subject_id,total,none,draft,reviewed,live_without_blocks
anatomia,1568,1568,0,0,1554
histologia,1193,1193,0,0,1128
biofizyka,852,852,0,0,852
stoma-angielski,1361,1361,0,0,501
stoma-patologia,577,577,0,0,453
lek-prof-humanizm,608,608,0,0,259
farmakologia,1741,1741,0,0,4
stoma-zakazne,883,883,0,0,1
ldew-chirurgia-stomatologiczna,2349,2349,0,0,0
ldew-stomatologia-zachowawcza,1464,1464,0,0,0
ldew-stomatologia-dziecieca,1060,1060,0,0,0
ldew-protetyka,1039,1039,0,0,0
fizjologia,933,933,0,0,0
ldew-ortodoncja,759,759,0,0,0
ldew-endodoncja,644,644,0,0,0
mikrobiologia,560,560,0,0,0
stoma-mikrobio-ju,465,465,0,0,0
ldew-periodontologia,383,383,0,0,0
ldew-choroby-sluzowki,232,232,0,0,0
stoma-narzad-zucia,111,111,0,0,0
stoma-socjologia,64,64,0,0,0
stoma-biochemia,10,10,0,0,0
